exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd
hyperliquid,CROSS,ETH-USD,25,4123.9,6958593294.942905,945490.1755933315,3899106935.129339
dydx,CROSS,ETHFI-USD,5,1.0699572,182.58,18703.0,20011.4095116
hyperliquid,CROSS,ETHFI-USD,5,1.0594,5483600.644210001,6714642.9815933565,7113492.774700001
dydx,ISOLATED,EUR-USD,20,1.164388356,0.0,5505.0,6409.957899779999
dydx,ISOLATED,"FARTCOIN,RAYDIUM,9BB6NFECJBCTNNLFKO2FQVQBQ8HHM13KCYYCDQBGPUMP-USD",20,0.872665092,35.785,450.0,392.6992914
drift,CROSS,FARTCOIN-USD,10,0.864354,793637.940232,2096554.0,1812164.8361159998
hyperliquid,CROSS,FARTCOIN-USD,10,0.85892,178493252.9354531,275651424.029423,236762521.127352
drift,CROSS,FED-USD,1,0.999999,0.0,0.0,0.0
hyperliquid,CROSS,FET-USD,5,0.66445,1044145.6784599999,3900281.3397546844,2591541.9362
dydx,CROSS,FIL-USD,10,2.38395232,55505.908,133470.0,318186.1161504
hyperliquid,CROSS,FIL-USD,5,2.3635,894208.0244000005,785683.1978506449,1856962.2381199994
dydx,CROSS,FLOKI-USD,5,9.97380052e-05,5492.68,494920000.0,49362.333533584
dydx,ISOLATED,FLR-USD,20,0.0231464214,2787.305,619400.0,14336.893415159999
dydx,ISOLATED,FORTH-USD,20,2.701182525,0.0,0.0,0.0
hyperliquid,CROSS,FRIEND-USD,3,0.47734,0.0,0.0,0.0
hyperliquid,CROSS,FTM-USD,10,0.712,0.0,0.0,0.0
hyperliquid,CROSS,FTT-USD,3,0.8706,39673.672124,140236.83948081784,122090.19245200002
drift,CROSS,FWOG-USD,4,0.042978,50743.476172,2898478.0,124570.787484
hyperliquid,CROSS,FXS-USD,5,2.666,1128014.8341099997,1046306.944276069,2789454.31344
dydx,ISOLATED,G-USD,20,0.011305,0.0,2600.0,29.393
dydx,ISOLATED,GALA-USD,20,0.0160091995,0.0,470300.0,7529.12652485
hyperliquid,CROSS,GALA-USD,3,0.01585,960060.3816759995,38670883.47003155,612933.503
dydx,ISOLATED,GAS-USD,20,3.23683815,65858.756,9807.0,31743.67173705
hyperliquid,CROSS,GAS-USD,3,3.205,356184.9753300002,193328.55070202806,619618.005
dydx,ISOLATED,GLMR-USD,20,0.0745074507,0.0,0.0,0.0
hyperliquid,CROSS,GMT-USD,5,0.040963,307146.403994,6677461.617069063,273528.86022000003
dydx,ISOLATED,GMX-USD,20,14.719264,0.0,142.7,2100.4389728
hyperliquid,CROSS,GMX-USD,5,14.535,582236.18778,107141.91918954247,1557307.7954199999
dydx,ISOLATED,GNO-USD,20,128.85,0.0,399.04,51416.304000000004
drift,CROSS,GOAT-USD,4,0.086972,969.099658,527627.0,45888.775444
dydx,ISOLATED,GOAT-USD,20,0.0882188218,0.0,97010.0,8558.107902818
hyperliquid,CROSS,GOAT-USD,5,0.08702,687286.0731909996,20453645.23539416,1779876.208384
dydx,ISOLATED,GRASS-USD,20,0.735063245,149.58,12120.0,8908.9665294
